"total_fat"	"cholesterol"	"sodium"	"dietary_fiber"	"sugars"	"protein"	"vitamin_a_dv"	"vitamin_c_dv"	"calcium_dv"	"iron_dv"	"calories_from_fat"	"saturated_fat"	"trans_fat"	"carbohydrates"
0.33	0.115384615384615	0.134814814814815	0.16	0.0865116279069764	0.337777777777777	0	0.000750000000000005	0.0959999999999998	0.3	0.32	0.186666666666667	0.546666666666668	0.381538461538461
0.366666666666667	0.153846153846154	0.162037037037037	0.133333333333333	0.0720930232558146	0.351851851851852	0.00888888888888891	0.000625000000000044	0.16	0.25	0.366666666666667	0.266666666666667	0.455555555555555	0.338461538461538
0.479166666666666	0.20979020979021	0.169402356902357	0.090909090909091	0.0573467230443973	0.399831649831649	0.0101010101010101	0.000426136363636377	0.136363636363636	0.227272727272727	0.477272727272727	0.333333333333333	0.931818181818182	0.237762237762237
0.446581196581197	0.192307692307692	0.15289648622982	0.102564102564103	0.0646988670244483	0.39696106362773	0.00683760683760687	0.000480769230769237	0.123076923076923	0.256410256410257	0.435897435897436	0.273504273504273	0.700854700854701	0.260355029585798
0.467320261437908	0.203619909502263	0.151234567901235	0.11764705882353	0.0636114911080702	0.400145243282498	0.00871459694989103	0.000735294117647093	0.141176470588235	0.245098039215686	0.450980392156863	0.313725490196078	0.803921568627451	0.24132730015083
0.520270270270269	0.241683991683992	0.120870870870871	0.0810810810810811	0.043840351979885	0.456456456456457	0.00600600600600598	0.000506756756756777	0.0972972972972972	0.236486486486487	0.513513513513514	0.342342342342342	0.923423423423423	0.166320166320165
0.492283950617285	0.16025641025641	0.12482853223594	0.111111111111111	0.0600775193798451	0.325788751714677	0.00493827160493825	0.00034722222222222	0.111111111111111	0.231481481481481	0.481481481481482	0.246913580246913	0.759259259259261	0.256410256410256
0.478260869565217	0.175585284280937	0.101449275362319	0.130434782608696	0.0626895854398367	0.367149758454106	0.00579710144927538	0.00163043478260872	0.0782608695652172	0.271739130434783	0.478260869565217	0.231884057971014	0.891304347826088	0.247491638795987
0.503267973856208	0.192307692307692	0.122004357298475	0.11764705882353	0.056543547651617	0.372549019607843	0.00871459694989103	0.00147058823529413	0.0941176470588234	0.245098039215686	0.490196078431372	0.287581699346405	0.803921568627451	0.229260935143287
0.45253164556962	0.211781888997079	0.169831223628692	0.10126582278481	0.0593170444509868	0.40084388185654	0.00562587904360059	0.000474683544303825	0.0759493670886074	0.221518987341772	0.443037974683544	0.286919831223629	0.691983122362871	0.24537487828627
0.476666666666667	0.207692307692308	0.146913580246914	0.106666666666667	0.0480620155038755	0.375308641975308	0.00888888888888891	0.00100000000000005	0.0799999999999999	0.233333333333333	0.466666666666667	0.284444444444444	0.728888888888889	0.25025641025641
0.476190476190476	0.202297702297702	0.0984848484848486	0.103896103896104	0.0374509211718513	0.402116402116402	0.00461760461760461	0	0.124675324675324	0.227272727272727	0.467532467532468	0.294372294372294	0.709956709956711	0.235764235764235
